a,b,c,d
705.940722429682,840.5212537288787,11.08428400973926,8.415852850720588
558.9364560654418,410.3175782167575,10.590684956130469,6.828834572655611
307.26633927451707,214.3144829973167,8.719652148701002,6.430775940485221
235.25017956283892,371.8582559825751,8.160793671670326,6.6787723243870785
287.50959157325883,476.6088069931376,8.307722142347345,7.037487427103868
425.96422136532783,1127.4714666114023,9.457014788263402,8.85641682481254
2930.1367662039606,3589.9027826208903,21.375012486149878,19.237425635220205
3254.789044470557,5357.054322956935,24.284868998751655,25.646220617967327
4738.514629727881,6337.302777803442,29.140638623543527,27.357101889092505
6220.347619519438,8444.696971924359,34.0010504116793,35.92588872666757
8738.149735214807,11560.646338634888,42.01662709552213,46.95868760397346
11242.207609767936,13259.331820381645,48.84695000496585,50.16660903344086
11197.276055819155,11773.639068882461,46.88014549427897,46.68824452855061
12325.09945506801,15292.054258642502,50.518500992623935,56.07792651075007
12932.630394474765,14307.795284226002,51.04509531428625,53.04250412324832
12822.223832008742,15272.70707681515,52.21821000271573,55.321097221618125
15938.056500318091,20272.760373292313,63.99041324556965,67.93054301862625
20038.591782756208,23778.912753883626,73.44619599164247,77.60259998619979
12542.160856525805,16350.12522965839,52.731158603640516,58.69251307243948
9401.315221114355,12348.353549567406,44.89136840069354,50.99151504092533
7151.86482832263,8160.416818211008,38.12001608284579,37.10292234124256
6334.166125382225,4205.197159458825,37.31470250449957,24.94012125356541
1645.639784722311,2065.929349557582,17.577259178606756,14.011830524470392
1681.1899259269123,1660.0600807131877,19.328088769154427,13.8081811469367
